enrichment_type,subtype,retrieval_method,strategy,metric,mean,median,std,min,max,count
answerability,PARTIAL,bge,lastturn,R@3,0.1708683473367647,0.0,0.3137711208022802,0.0,1.0,68
answerability,PARTIAL,bge,lastturn,R@5,0.21621148459264705,0.0,0.3725395375920492,0.0,1.0,68
answerability,PARTIAL,bge,lastturn,R@10,0.2738095238088235,0.0,0.4007704868282885,0.0,1.0,68
answerability,PARTIAL,bge,lastturn,nDCG@1,0.17647058823529413,0.0,0.3840544298562199,0.0,1.0,68
answerability,PARTIAL,bge,lastturn,nDCG@3,0.1704170937117647,0.0,0.2941615560293741,0.0,1.0,68
answerability,PARTIAL,bge,lastturn,nDCG@5,0.18739737125147057,0.0,0.3121239483491231,0.0,1.0,68
answerability,PARTIAL,bge,lastturn,nDCG@10,0.2089915203352941,0.0,0.3184996272228944,0.0,1.0,68
answerability,PARTIAL,bge,rewrite,R@1,0.060924369745588236,0.0,0.13981191360452577,0.0,0.5,68
answerability,PARTIAL,bge,rewrite,R@3,0.1904761904735294,0.0,0.3031225341691637,0.0,1.0,68
answerability,PARTIAL,bge,rewrite,R@5,0.2725840336117647,0.0,0.3786362365689347,0.0,1.0,68
answerability,PARTIAL,bge,rewrite,R@10,0.35469187675147057,0.0,0.42709093778350676,0.0,1.0,68
answerability,PARTIAL,bge,rewrite,nDCG@1,0.17647058823529413,0.0,0.3840544298562199,0.0,1.0,68
answerability,PARTIAL,bge,rewrite,nDCG@3,0.18777664056911764,0.0,0.2853692821534566,0.0,1.0,68
answerability,PARTIAL,bge,rewrite,nDCG@5,0.21963821548382353,0.0,0.2939680515287272,0.0,1.0,68
answerability,PARTIAL,bge,rewrite,nDCG@10,0.2527367152985294,0.0,0.3077633978742552,0.0,1.0,68
answerability,PARTIAL,bge,questions,R@1,0.045343137252941174,0.0,0.129126597479344,0.0,0.5,68
answerability,PARTIAL,bge,questions,R@3,0.14950980392058824,0.0,0.32340911288506946,0.0,1.0,68
answerability,PARTIAL,bge,questions,R@5,0.20343137255,0.0,0.37665674736730564,0.0,1.0,68
answerability,PARTIAL,bge,questions,R@10,0.29219187675147057,0.0,0.42035092553539843,0.0,1.0,68
answerability,PARTIAL,bge,questions,nDCG@1,0.11764705882352941,0.0,0.32458523544031886,0.0,1.0,68
answerability,PARTIAL,bge,questions,nDCG@3,0.13438118101617647,0.0,0.2830759322132242,0.0,1.0,68
answerability,PARTIAL,bge,questions,nDCG@5,0.15763947199705883,0.0,0.2978276185039542,0.0,1.0,68
answerability,PARTIAL,bge,questions,nDCG@10,0.19091429524117648,0.0,0.300951959193012,0.0,1.0,68
